report,1_similar,5_similars,10_similars
137.0,574.0,"[574.0, 147.0, 194.0, 841.0, 165.0]","[574.0, 147.0, 194.0, 841.0, 165.0, 200.0, 348.0, 887.0, 91.0, 451.0]"
138.0,303.0,"[303.0, 520.0, 672.0, 549.0, 704.0]","[303.0, 520.0, 672.0, 549.0, 704.0, 814.0, 941.0, 804.0, 11.0, 927.0]"
141.0,168.0,"[168.0, 254.0, 897.0, 492.0, 290.0]","[168.0, 254.0, 897.0, 492.0, 290.0, 500.0, 708.0, 400.0, 184.0, 397.0]"
145.0,282.0,"[282.0, 945.0, 200.0, 870.0, 708.0]","[282.0, 945.0, 200.0, 870.0, 708.0, 500.0, 897.0, 341.0, 564.0, 114.0]"
146.0,904.0,"[904.0, 722.0, 555.0, 336.0, 189.0]","[904.0, 722.0, 555.0, 336.0, 189.0, 421.0, 102.0, 315.0, 458.0, 349.0]"
148.0,17.0,"[17.0, 167.0, 430.0, 584.0, 111.0]","[17.0, 167.0, 430.0, 584.0, 111.0, 535.0, 157.0, 626.0, 586.0, 365.0]"
153.0,495.0,"[495.0, 481.0, 330.0, 70.0, 466.0]","[495.0, 481.0, 330.0, 70.0, 466.0, 735.0, 383.0, 67.0, 471.0, 320.0]"
158.0,169.0,"[169.0, 852.0, 210.0, 579.0, 223.0]","[169.0, 852.0, 210.0, 579.0, 223.0, 486.0, 568.0, 74.0, 457.0, 447.0]"
159.0,147.0,"[147.0, 780.0, 162.0, 250.0, 568.0]","[147.0, 780.0, 162.0, 250.0, 568.0, 622.0, 887.0, 133.0, 508.0, 275.0]"
161.0,801.0,"[801.0, 437.0, 379.0, 376.0, 419.0]","[801.0, 437.0, 379.0, 376.0, 419.0, 300.0, 825.0, 850.0, 868.0, 894.0]"
163.0,500.0,"[500.0, 897.0, 168.0, 708.0, 290.0]","[500.0, 897.0, 168.0, 708.0, 290.0, 400.0, 165.0, 254.0, 3.0, 397.0]"
171.0,91.0,"[91.0, 364.0, 173.0, 464.0, 175.0]","[91.0, 364.0, 173.0, 464.0, 175.0, 769.0, 870.0, 620.0, 932.0, 165.0]"
176.0,76.0,"[76.0, 768.0, 638.0, 9.0, 948.0]","[76.0, 768.0, 638.0, 9.0, 948.0, 649.0, 696.0, 65.0, 289.0, 876.0]"
199.0,644.0,"[644.0, 327.0, 736.0, 475.0, 633.0]","[644.0, 327.0, 736.0, 475.0, 633.0, 64.0, 407.0, 470.0, 564.0, 714.0]"
201.0,183.0,"[183.0, 202.0, 170.0, 4.0, 185.0]","[183.0, 202.0, 170.0, 4.0, 185.0, 338.0, 351.0, 291.0, 809.0, 286.0]"
206.0,183.0,"[183.0, 202.0, 170.0, 4.0, 185.0]","[183.0, 202.0, 170.0, 4.0, 185.0, 338.0, 351.0, 291.0, 809.0, 286.0]"
211.0,327.0,"[327.0, 736.0, 381.0, 200.0, 239.0]","[327.0, 736.0, 381.0, 200.0, 239.0, 714.0, 649.0, 475.0, 64.0, 768.0]"
212.0,921.0,"[921.0, 842.0, 785.0, 788.0, 125.0]","[921.0, 842.0, 785.0, 788.0, 125.0, 934.0, 828.0, 596.0, 300.0, 428.0]"
213.0,343.0,"[343.0, 732.0, 357.0, 87.0, 257.0]","[343.0, 732.0, 357.0, 87.0, 257.0, 152.0, 54.0, 716.0, 522.0, 32.0]"
215.0,18.0,"[18.0, 768.0, 930.0, 736.0, 866.0]","[18.0, 768.0, 930.0, 736.0, 866.0, 371.0, 696.0, 327.0, 623.0, 381.0]"
216.0,129.0,"[129.0, 940.0, 91.0, 147.0, 458.0]","[129.0, 940.0, 91.0, 147.0, 458.0, 783.0, 185.0, 419.0, 338.0, 773.0]"
217.0,781.0,"[781.0, 165.0, 563.0, 866.0, 422.0]","[781.0, 165.0, 563.0, 866.0, 422.0, 451.0, 397.0, 27.0, 294.0, 729.0]"
219.0,307.0,"[307.0, 160.0, 689.0, 530.0, 934.0]","[307.0, 160.0, 689.0, 530.0, 934.0, 97.0, 95.0, 186.0, 449.0, 842.0]"
220.0,343.0,"[343.0, 732.0, 357.0, 87.0, 152.0]","[343.0, 732.0, 357.0, 87.0, 152.0, 522.0, 54.0, 257.0, 716.0, 32.0]"
222.0,708.0,"[708.0, 348.0, 499.0, 105.0, 255.0]","[708.0, 348.0, 499.0, 105.0, 255.0, 3.0, 897.0, 933.0, 599.0, 658.0]"
224.0,94.0,"[94.0, 49.0, 644.0, 85.0, 445.0]","[94.0, 49.0, 644.0, 85.0, 445.0, 695.0, 658.0, 395.0, 736.0, 410.0]"
226.0,409.0,"[409.0, 933.0, 410.0, 658.0, 628.0]","[409.0, 933.0, 410.0, 658.0, 628.0, 692.0, 348.0, 502.0, 229.0, 909.0]"
230.0,195.0,"[195.0, 415.0, 493.0, 441.0, 309.0]","[195.0, 415.0, 493.0, 441.0, 309.0, 564.0, 1.0, 945.0, 729.0, 730.0]"
232.0,342.0,"[342.0, 13.0, 518.0, 28.0, 188.0]","[342.0, 13.0, 518.0, 28.0, 188.0, 435.0, 12.0, 84.0, 778.0, 117.0]"
238.0,419.0,"[419.0, 351.0, 801.0, 170.0, 4.0]","[419.0, 351.0, 801.0, 170.0, 4.0, 291.0, 286.0, 183.0, 202.0, 938.0]"
240.0,175.0,"[175.0, 364.0, 769.0, 173.0, 282.0]","[175.0, 364.0, 769.0, 173.0, 282.0, 473.0, 930.0, 110.0, 91.0, 735.0]"
241.0,643.0,"[643.0, 648.0, 604.0, 279.0, 264.0]","[643.0, 648.0, 604.0, 279.0, 264.0, 293.0, 301.0, 442.0, 362.0, 645.0]"
244.0,62.0,"[62.0, 192.0, 945.0, 932.0, 473.0]","[62.0, 192.0, 945.0, 932.0, 473.0, 415.0, 195.0, 870.0, 724.0, 68.0]"
248.0,327.0,"[327.0, 736.0, 644.0, 329.0, 475.0]","[327.0, 736.0, 644.0, 329.0, 475.0, 395.0, 367.0, 768.0, 76.0, 633.0]"
259.0,866.0,"[866.0, 532.0, 768.0, 174.0, 422.0]","[866.0, 532.0, 768.0, 174.0, 422.0, 255.0, 378.0, 416.0, 869.0, 110.0]"
260.0,90.0,"[90.0, 535.0, 626.0, 29.0, 571.0]","[90.0, 535.0, 626.0, 29.0, 571.0, 584.0, 17.0, 111.0, 581.0, 430.0]"
262.0,604.0,"[604.0, 279.0, 264.0, 773.0, 428.0]","[604.0, 279.0, 264.0, 773.0, 428.0, 408.0, 574.0, 301.0, 338.0, 185.0]"
265.0,561.0,"[561.0, 568.0, 275.0, 508.0, 356.0]","[561.0, 568.0, 275.0, 508.0, 356.0, 779.0, 887.0, 346.0, 223.0, 652.0]"
266.0,264.0,"[264.0, 293.0, 647.0, 408.0, 362.0]","[264.0, 293.0, 647.0, 408.0, 362.0, 301.0, 643.0, 592.0, 604.0, 279.0]"
277.0,904.0,"[904.0, 189.0, 555.0, 336.0, 722.0]","[904.0, 189.0, 555.0, 336.0, 722.0, 102.0, 421.0, 225.0, 315.0, 458.0]"
280.0,307.0,"[307.0, 934.0, 125.0, 842.0, 449.0]","[307.0, 934.0, 125.0, 842.0, 449.0, 160.0, 100.0, 838.0, 921.0, 53.0]"
283.0,264.0,"[264.0, 279.0, 604.0, 293.0, 301.0]","[264.0, 279.0, 604.0, 293.0, 301.0, 645.0, 904.0, 458.0, 555.0, 209.0]"
297.0,221.0,"[221.0, 257.0, 35.0, 716.0, 52.0]","[221.0, 257.0, 35.0, 716.0, 52.0, 256.0, 644.0, 32.0, 695.0, 461.0]"
302.0,850.0,"[850.0, 868.0, 894.0, 234.0, 310.0]","[850.0, 868.0, 894.0, 234.0, 310.0, 363.0, 572.0, 621.0, 683.0, 2.0]"
304.0,535.0,"[535.0, 90.0, 167.0, 571.0, 365.0]","[535.0, 90.0, 167.0, 571.0, 365.0, 581.0, 626.0, 586.0, 17.0, 29.0]"
311.0,620.0,"[620.0, 930.0, 870.0, 816.0, 282.0]","[620.0, 930.0, 870.0, 816.0, 282.0, 945.0, 464.0, 724.0, 909.0, 422.0]"
313.0,735.0,"[735.0, 495.0, 330.0, 70.0, 481.0]","[735.0, 495.0, 330.0, 70.0, 481.0, 471.0, 505.0, 298.0, 383.0, 466.0]"
319.0,22.0,"[22.0, 60.0, 108.0, 940.0, 368.0]","[22.0, 60.0, 108.0, 940.0, 368.0, 122.0, 843.0, 62.0, 121.0, 74.0]"
325.0,508.0,"[508.0, 346.0, 356.0, 568.0, 223.0]","[508.0, 346.0, 356.0, 568.0, 223.0, 622.0, 779.0, 652.0, 275.0, 250.0]"
331.0,223.0,"[223.0, 273.0, 169.0, 607.0, 375.0]","[223.0, 273.0, 169.0, 607.0, 375.0, 432.0, 385.0, 356.0, 323.0, 579.0]"
332.0,534.0,"[534.0, 321.0, 599.0, 165.0, 397.0]","[534.0, 321.0, 599.0, 165.0, 397.0, 348.0, 588.0, 878.0, 499.0, 781.0]"
340.0,139.0,"[139.0, 101.0, 785.0, 898.0, 162.0]","[139.0, 101.0, 785.0, 898.0, 162.0, 596.0, 788.0, 437.0, 710.0, 93.0]"
344.0,580.0,"[580.0, 348.0, 247.0, 239.0, 934.0]","[580.0, 348.0, 247.0, 239.0, 934.0, 329.0, 597.0, 341.0, 499.0, 908.0]"
345.0,307.0,"[307.0, 47.0, 144.0, 233.0, 139.0]","[307.0, 47.0, 144.0, 233.0, 139.0, 99.0, 95.0, 689.0, 133.0, 611.0]"
347.0,417.0,"[417.0, 452.0, 110.0, 623.0, 773.0]","[417.0, 452.0, 110.0, 623.0, 773.0, 505.0, 794.0, 70.0, 68.0, 105.0]"
353.0,181.0,"[181.0, 207.0, 296.0, 333.0, 809.0]","[181.0, 207.0, 296.0, 333.0, 809.0, 291.0, 123.0, 513.0, 380.0, 134.0]"
354.0,379.0,"[379.0, 376.0, 526.0, 812.0, 850.0]","[379.0, 376.0, 526.0, 812.0, 850.0, 868.0, 894.0, 234.0, 310.0, 363.0]"
359.0,870.0,"[870.0, 551.0, 218.0, 200.0, 239.0]","[870.0, 551.0, 218.0, 200.0, 239.0, 175.0, 594.0, 876.0, 72.0, 724.0]"
360.0,397.0,"[397.0, 897.0, 348.0, 168.0, 708.0]","[397.0, 897.0, 348.0, 168.0, 708.0, 500.0, 492.0, 400.0, 290.0, 3.0]"
370.0,700.0,"[700.0, 505.0, 471.0, 63.0, 110.0]","[700.0, 505.0, 471.0, 63.0, 110.0, 330.0, 68.0, 115.0, 623.0, 118.0]"
372.0,7.0,"[7.0, 271.0, 578.0, 761.0, 784.0]","[7.0, 271.0, 578.0, 761.0, 784.0, 543.0, 102.0, 336.0, 555.0, 149.0]"
373.0,928.0,"[928.0, 25.0, 19.0, 205.0, 285.0]","[928.0, 25.0, 19.0, 205.0, 285.0, 29.0, 69.0, 581.0, 90.0, 389.0]"
377.0,852.0,"[852.0, 210.0, 53.0, 597.0, 568.0]","[852.0, 210.0, 53.0, 597.0, 568.0, 579.0, 653.0, 223.0, 486.0, 508.0]"
391.0,274.0,"[274.0, 307.0, 934.0, 689.0, 593.0]","[274.0, 307.0, 934.0, 689.0, 593.0, 842.0, 427.0, 133.0, 844.0, 709.0]"
398.0,687.0,"[687.0, 553.0, 303.0, 520.0, 672.0]","[687.0, 553.0, 303.0, 520.0, 672.0, 549.0, 529.0, 142.0, 617.0, 927.0]"
399.0,922.0,"[922.0, 831.0, 926.0, 905.0, 956.0]","[922.0, 831.0, 926.0, 905.0, 956.0, 929.0, 833.0, 603.0, 951.0, 698.0]"
404.0,930.0,"[930.0, 620.0, 932.0, 282.0, 175.0]","[930.0, 620.0, 932.0, 282.0, 175.0, 72.0, 870.0, 110.0, 18.0, 564.0]"
405.0,264.0,"[264.0, 408.0, 647.0, 293.0, 362.0]","[264.0, 408.0, 647.0, 293.0, 362.0, 301.0, 604.0, 592.0, 643.0, 403.0]"
411.0,564.0,"[564.0, 282.0, 395.0, 658.0, 341.0]","[564.0, 282.0, 395.0, 658.0, 341.0, 736.0, 644.0, 911.0, 445.0, 692.0]"
412.0,376.0,"[376.0, 379.0, 526.0, 850.0, 868.0]","[376.0, 379.0, 526.0, 850.0, 868.0, 894.0, 2.0, 6.0, 10.0, 33.0]"
418.0,596.0,"[596.0, 785.0, 101.0, 788.0, 449.0]","[596.0, 785.0, 101.0, 788.0, 449.0, 482.0, 162.0, 233.0, 437.0, 891.0]"
423.0,492.0,"[492.0, 168.0, 184.0, 254.0, 397.0]","[492.0, 168.0, 184.0, 254.0, 397.0, 194.0, 348.0, 897.0, 290.0, 708.0]"
424.0,897.0,"[897.0, 500.0, 564.0, 290.0, 708.0]","[897.0, 500.0, 564.0, 290.0, 708.0, 397.0, 400.0, 341.0, 168.0, 294.0]"
425.0,850.0,"[850.0, 868.0, 894.0, 234.0, 310.0]","[850.0, 868.0, 894.0, 234.0, 310.0, 363.0, 572.0, 621.0, 683.0, 2.0]"
426.0,623.0,"[623.0, 110.0, 738.0, 597.0, 700.0]","[623.0, 110.0, 738.0, 597.0, 700.0, 457.0, 605.0, 371.0, 796.0, 210.0]"
429.0,785.0,"[785.0, 828.0, 380.0, 612.0, 482.0]","[785.0, 828.0, 380.0, 612.0, 482.0, 428.0, 787.0, 938.0, 898.0, 103.0]"
436.0,471.0,"[471.0, 63.0, 505.0, 474.0, 115.0]","[471.0, 63.0, 505.0, 474.0, 115.0, 700.0, 68.0, 110.0, 330.0, 88.0]"
440.0,25.0,"[25.0, 406.0, 19.0, 205.0, 284.0]","[25.0, 406.0, 19.0, 205.0, 284.0, 789.0, 285.0, 401.0, 287.0, 182.0]"
448.0,422.0,"[422.0, 564.0, 341.0, 620.0, 930.0]","[422.0, 564.0, 341.0, 620.0, 930.0, 736.0, 515.0, 911.0, 110.0, 728.0]"
450.0,544.0,"[544.0, 758.0, 692.0, 918.0, 348.0]","[544.0, 758.0, 692.0, 918.0, 348.0, 198.0, 53.0, 443.0, 239.0, 329.0]"
453.0,732.0,"[732.0, 155.0, 716.0, 32.0, 343.0]","[732.0, 155.0, 716.0, 32.0, 343.0, 257.0, 61.0, 256.0, 35.0, 203.0]"
455.0,407.0,"[407.0, 273.0, 786.0, 210.0, 110.0]","[407.0, 273.0, 786.0, 210.0, 110.0, 268.0, 292.0, 756.0, 432.0, 623.0]"
462.0,535.0,"[535.0, 581.0, 90.0, 285.0, 29.0]","[535.0, 581.0, 90.0, 285.0, 29.0, 626.0, 571.0, 25.0, 584.0, 928.0]"
463.0,327.0,"[327.0, 768.0, 18.0, 9.0, 371.0]","[327.0, 768.0, 18.0, 9.0, 371.0, 76.0, 736.0, 475.0, 644.0, 714.0]"
467.0,499.0,"[499.0, 348.0, 147.0, 933.0, 200.0]","[499.0, 348.0, 147.0, 933.0, 200.0, 151.0, 511.0, 92.0, 705.0, 250.0]"
478.0,92.0,"[92.0, 41.0, 162.0, 101.0, 103.0]","[92.0, 41.0, 162.0, 101.0, 103.0, 140.0, 104.0, 99.0, 472.0, 30.0]"
479.0,704.0,"[704.0, 941.0, 549.0, 814.0, 39.0]","[704.0, 941.0, 549.0, 814.0, 39.0, 529.0, 526.0, 303.0, 520.0, 672.0]"
480.0,768.0,"[768.0, 18.0, 696.0, 76.0, 72.0]","[768.0, 18.0, 696.0, 76.0, 72.0, 305.0, 9.0, 763.0, 644.0, 736.0]"
483.0,512.0,"[512.0, 249.0, 786.0, 755.0, 273.0]","[512.0, 249.0, 786.0, 755.0, 273.0, 53.0, 263.0, 125.0, 74.0, 878.0]"
487.0,578.0,"[578.0, 679.0, 271.0, 784.0, 7.0]","[578.0, 679.0, 271.0, 784.0, 7.0, 543.0, 761.0, 349.0, 149.0, 417.0]"
489.0,430.0,"[430.0, 829.0, 789.0, 164.0, 535.0]","[430.0, 829.0, 789.0, 164.0, 535.0, 237.0, 496.0, 253.0, 157.0, 111.0]"
490.0,579.0,"[579.0, 786.0, 512.0, 508.0, 169.0]","[579.0, 786.0, 512.0, 508.0, 169.0, 780.0, 574.0, 887.0, 273.0, 318.0]"
491.0,714.0,"[714.0, 628.0, 737.0, 768.0, 475.0]","[714.0, 628.0, 737.0, 768.0, 475.0, 511.0, 290.0, 64.0, 282.0, 664.0]"
501.0,307.0,"[307.0, 838.0, 959.0, 689.0, 530.0]","[307.0, 838.0, 959.0, 689.0, 530.0, 593.0, 274.0, 186.0, 427.0, 842.0]"
503.0,508.0,"[508.0, 275.0, 652.0, 356.0, 568.0]","[508.0, 275.0, 652.0, 356.0, 568.0, 779.0, 346.0, 622.0, 561.0, 250.0]"
506.0,779.0,"[779.0, 223.0, 512.0, 887.0, 652.0]","[779.0, 223.0, 512.0, 887.0, 652.0, 568.0, 852.0, 508.0, 356.0, 561.0]"
514.0,451.0,"[451.0, 165.0, 897.0, 500.0, 91.0]","[451.0, 165.0, 897.0, 500.0, 91.0, 708.0, 290.0, 422.0, 168.0, 781.0]"
519.0,111.0,"[111.0, 235.0, 179.0, 430.0, 246.0]","[111.0, 235.0, 179.0, 430.0, 246.0, 902.0, 237.0, 157.0, 164.0, 890.0]"
531.0,564.0,"[564.0, 341.0, 692.0, 736.0, 410.0]","[564.0, 341.0, 692.0, 736.0, 410.0, 511.0, 348.0, 897.0, 49.0, 708.0]"
540.0,330.0,"[330.0, 70.0, 481.0, 495.0, 352.0]","[330.0, 70.0, 481.0, 495.0, 352.0, 670.0, 735.0, 298.0, 68.0, 118.0]"
541.0,255.0,"[255.0, 79.0, 99.0, 104.0, 174.0]","[255.0, 79.0, 99.0, 104.0, 174.0, 36.0, 780.0, 869.0, 416.0, 428.0]"
542.0,709.0,"[709.0, 534.0, 599.0, 3.0, 321.0]","[709.0, 534.0, 599.0, 3.0, 321.0, 918.0, 499.0, 348.0, 860.0, 397.0]"
546.0,938.0,"[938.0, 351.0, 328.0, 361.0, 104.0]","[938.0, 351.0, 328.0, 361.0, 104.0, 103.0, 140.0, 787.0, 291.0, 92.0]"
547.0,328.0,"[328.0, 361.0, 787.0, 827.0, 380.0]","[328.0, 361.0, 787.0, 827.0, 380.0, 185.0, 338.0, 104.0, 828.0, 428.0]"
550.0,150.0,"[150.0, 172.0, 433.0, 253.0, 235.0]","[150.0, 172.0, 433.0, 253.0, 235.0, 317.0, 288.0, 430.0, 496.0, 196.0]"
552.0,196.0,"[196.0, 190.0, 288.0, 587.0, 401.0]","[196.0, 190.0, 288.0, 587.0, 401.0, 284.0, 25.0, 535.0, 789.0, 581.0]"
554.0,150.0,"[150.0, 172.0, 496.0, 235.0, 55.0]","[150.0, 172.0, 496.0, 235.0, 55.0, 177.0, 390.0, 433.0, 288.0, 12.0]"
556.0,578.0,"[578.0, 271.0, 543.0, 7.0, 784.0]","[578.0, 271.0, 543.0, 7.0, 784.0, 761.0, 679.0, 904.0, 349.0, 149.0]"
557.0,682.0,"[682.0, 303.0, 520.0, 672.0, 927.0]","[682.0, 303.0, 520.0, 672.0, 927.0, 804.0, 636.0, 549.0, 632.0, 690.0]"
558.0,343.0,"[343.0, 461.0, 52.0, 155.0, 32.0]","[343.0, 461.0, 52.0, 155.0, 32.0, 716.0, 732.0, 221.0, 947.0, 59.0]"
559.0,150.0,"[150.0, 433.0, 197.0, 829.0, 12.0]","[150.0, 433.0, 197.0, 829.0, 12.0, 288.0, 84.0, 246.0, 435.0, 496.0]"
560.0,923.0,"[923.0, 745.0, 743.0, 956.0, 739.0]","[923.0, 745.0, 743.0, 956.0, 739.0, 601.0, 833.0, 654.0, 929.0, 382.0]"
573.0,605.0,"[605.0, 786.0, 580.0, 210.0, 512.0]","[605.0, 786.0, 580.0, 210.0, 512.0, 597.0, 738.0, 508.0, 371.0, 273.0]"
576.0,685.0,"[685.0, 953.0, 723.0, 606.0, 927.0]","[685.0, 953.0, 723.0, 606.0, 927.0, 814.0, 553.0, 690.0, 636.0, 632.0]"
577.0,890.0,"[890.0, 626.0, 157.0, 235.0, 237.0]","[890.0, 626.0, 157.0, 235.0, 237.0, 164.0, 179.0, 584.0, 111.0, 75.0]"
583.0,842.0,"[842.0, 274.0, 805.0, 844.0, 934.0]","[842.0, 274.0, 805.0, 844.0, 934.0, 97.0, 814.0, 723.0, 815.0, 611.0]"
589.0,62.0,"[62.0, 114.0, 500.0, 945.0, 192.0]","[62.0, 114.0, 500.0, 945.0, 192.0, 870.0, 400.0, 315.0, 897.0, 473.0]"
591.0,102.0,"[102.0, 904.0, 555.0, 336.0, 315.0]","[102.0, 904.0, 555.0, 336.0, 315.0, 722.0, 458.0, 711.0, 421.0, 149.0]"
595.0,568.0,"[568.0, 508.0, 779.0, 878.0, 561.0]","[568.0, 508.0, 779.0, 878.0, 561.0, 356.0, 524.0, 133.0, 346.0, 275.0]"
598.0,733.0,"[733.0, 117.0, 778.0, 81.0, 188.0]","[733.0, 117.0, 778.0, 81.0, 188.0, 12.0, 120.0, 28.0, 335.0, 435.0]"
600.0,584.0,"[584.0, 339.0, 469.0, 717.0, 16.0]","[584.0, 339.0, 469.0, 717.0, 16.0, 157.0, 571.0, 237.0, 164.0, 590.0]"
602.0,513.0,"[513.0, 686.0, 181.0, 207.0, 296.0]","[513.0, 686.0, 181.0, 207.0, 296.0, 333.0, 123.0, 809.0, 444.0, 414.0]"
613.0,348.0,"[348.0, 897.0, 708.0, 341.0, 692.0]","[348.0, 897.0, 708.0, 341.0, 692.0, 410.0, 500.0, 933.0, 564.0, 229.0]"
615.0,763.0,"[763.0, 18.0, 72.0, 768.0, 305.0]","[763.0, 18.0, 72.0, 768.0, 305.0, 9.0, 475.0, 76.0, 623.0, 64.0]"
616.0,620.0,"[620.0, 870.0, 945.0, 464.0, 816.0]","[620.0, 870.0, 945.0, 464.0, 816.0, 930.0, 669.0, 282.0, 932.0, 724.0]"
618.0,341.0,"[341.0, 945.0, 195.0, 422.0, 564.0]","[341.0, 945.0, 195.0, 422.0, 564.0, 493.0, 909.0, 515.0, 441.0, 870.0]"
619.0,768.0,"[768.0, 948.0, 945.0, 290.0, 282.0]","[768.0, 948.0, 945.0, 290.0, 282.0, 114.0, 870.0, 696.0, 714.0, 475.0]"
624.0,326.0,"[326.0, 416.0, 869.0, 99.0, 291.0]","[326.0, 416.0, 869.0, 99.0, 291.0, 208.0, 174.0, 78.0, 134.0, 513.0]"
627.0,81.0,"[81.0, 117.0, 733.0, 460.0, 12.0]","[81.0, 117.0, 733.0, 460.0, 12.0, 188.0, 778.0, 28.0, 775.0, 13.0]"
629.0,831.0,"[831.0, 565.0, 698.0, 922.0, 946.0]","[831.0, 565.0, 698.0, 922.0, 946.0, 601.0, 382.0, 956.0, 603.0, 833.0]"
